City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,88,PF,1518918686,100,-23.12,-134.97,79.56,12.66
1,jamestown,68,AU,1518918606,70,-33.21,138.6,79.47,7.07
2,busselton,0,AU,1518918687,90,-33.64,115.35,73.81,10.98
3,husavik,24,CA,1518918688,69,50.56,-96.99,1.54,3.27
4,sinnamary,92,GF,1518918688,100,5.38,-52.96,74.21,9.42
5,victoria,75,BN,1518917400,83,5.28,115.24,84.2,3.36
6,clyde river,1,CA,1518915600,65,70.47,-68.59,-36.41,4.7
7,vila velha,88,BR,1518918690,100,-3.71,-38.6,78.85,1.14
8,upernavik,32,GL,1518918691,100,72.79,-56.15,-4.05,11.21
9,zaoyang,68,CN,1518918691,98,32.12,112.76,45.19,8.63
10,veraval,0,FR,1518917400,100,49.65,0.71,37.4,2.24
11,brae,24,GB,1518916800,95,60.4,-1.35,39.2,8.05
12,barrow,48,AR,1518918575,86,-38.31,-60.23,70.2,8.41
13,port hardy,75,CA,1518917160,86,50.7,-127.42,33.8,11.41
14,tarauaca,44,BR,1518918694,85,-8.16,-70.77,76.86,2.71
15,adwa,0,ET,1518918694,89,14.16,38.9,48.47,2.59
16,bubaque,0,GW,1518918695,94,11.28,-15.83,75.06,4.72
17,mataura,76,NZ,1518918695,51,-46.19,168.86,70.93,27.54
18,atuona,76,PF,1518918696,100,-9.8,-139.03,80.37,14.23
19,nyrob,92,RU,1518918697,89,60.74,56.73,17.29,9.98
20,saint-philippe,90,CA,1518916500,62,45.36,-73.48,32,8.19
21,kjollefjord,76,NO,1518918698,75,70.95,27.35,13.82,3.49
22,uyemskiy,90,RU,1518915600,84,64.47,40.85,6.8,2.48
23,georgetown,0,GY,1518915600,88,6.8,-58.16,73.4,8.05
24,ponta pora,56,BR,1518918700,95,-22.54,-55.73,70.16,6.4
25,ushuaia,40,AR,1518915600,81,-54.81,-68.31,48.2,10.29
26,vaini,0,IN,1518918701,56,15.34,74.49,70.47,4.27
27,mogadishu,88,SO,1518918702,100,2.04,45.34,78.04,17.58
28,sterling,90,US,1518917280,86,39,-77.4,35.6,3.38
29,bluff,0,AU,1518918703,58,-23.58,149.07,90.64,4.61
30,hasaki,75,JP,1518915600,29,35.73,140.83,37.4,12.75
31,cape town,0,ZA,1518915600,87,-33.93,18.42,59,10.29
32,albany,90,US,1518917040,86,42.65,-73.75,32,3.36
33,qianan,0,CN,1518918705,63,44.99,124.06,15.89,4.72
34,changli,68,CN,1518918706,77,30.54,105.42,52.52,9.98
35,ponta do sol,44,BR,1518918706,98,-20.63,-46,63.1,4.72
36,kintampo,12,GH,1518918706,74,8.05,-1.73,76.64,9.86
37,havelock,90,US,1518916980,87,34.88,-76.9,53.6,4.7
38,lujan,0,AR,1518918707,33,-46.57,-67.67,71.1,25.19
39,kjopsvik,0,NO,1518916800,66,68.1,16.37,12.2,5.82
40,kilindoni,88,TZ,1518918700,100,-7.91,39.67,81.27,5.95
41,khatanga,44,RU,1518918709,35,71.98,102.47,-23.58,3.6
42,avera,1,US,1518917700,93,33.19,-82.53,69.8,9.42
43,dikson,0,RU,1518918710,93,73.51,80.55,-15.43,11.99
44,geraldton,5,CA,1518915600,72,49.72,-86.95,10.4,5.82
45,lavrentiya,80,RU,1518918711,91,65.58,-170.99,29.97,31.79
46,saint george,0,GR,1518915000,93,39.45,22.34,41,4.7
47,college,90,US,1518915480,92,64.86,-147.8,19.4,3.36
48,ribeira grande,64,PT,1518918712,98,38.52,-28.7,61.97,20.04
49,szigetvar,92,HU,1518918713,99,46.05,17.81,33.57,2.04
50,peniche,0,PT,1518917400,76,39.36,-9.38,51.8,10.29
51,ketchikan,1,US,1518915360,100,55.34,-131.65,33.8,13.87
52,port alfred,0,ZA,1518918715,91,-33.59,26.89,71.73,16.24
53,bom jesus da lapa,44,BR,1518918715,57,-13.25,-43.41,77.76,12.66
54,bredasdorp,0,ZA,1518915600,93,-34.53,20.04,59,4.7
55,guerrero negro,0,MX,1518918716,85,27.97,-114.04,64.35,4.16
56,kapaa,1,US,1518915360,69,22.08,-159.32,77,11.41
57,hermanus,0,ZA,1518918718,93,-34.42,19.24,56.52,3.15
58,granadilla de abona,40,ES,1518917400,72,28.12,-16.58,60.8,13.87
59,kamiiso,40,JP,1518915600,54,41.82,140.65,28.4,10.29
60,grindavik,75,IS,1518915600,92,63.84,-22.43,30.2,12.75
61,deniliquin,12,AU,1518918720,79,-35.53,144.96,82.54,5.28
